id	vocalized	unvocalized	rule	category	note	first	second
68	آفَة سَمَاوِيَّة	آفة سماوية	40			آفة	سماوية
69	آل النَّبِيِّ	آل النبي	50	مضاف إليه		آل	النبي
70	آلَاء اللَّهِ	آلاء الله	50	مضاف إليه		آلاء	الله
71	آلَات الْحَرْبِ	آلات الحرب	50	مضاف إليه		آلات	الحرب
72	آلَات الْفِعْلِ	آلات الفعل	60	مضاف إليه		آلات	الفعل
73	آلَات اللَّهْوِ	آلات اللهو	60	مضاف إليه		آلات	اللهو
74	آلَات الْمَلَاهِي	آلات الملاهي	60	مضاف إليه		آلات	الملاهي
75	آلَة الِاسْتِقَاءِ	آلة الاستقاء	30	مضاف إليه		آلة	الاستقاء
76	آلَة الْجِهَادِ	آلة الجهاد	30	مضاف إليه		آلة	الجهاد
77	آلَة الْحَرْبِ	آلة الحرب	30	مضاف إليه		آلة	الحرب
78	آلَة الذَّبْحِ	آلة الذبح	30	مضاف إليه		آلة	الذبح
79	آلَة الرَّجُلِ	آلة الرجل	30	مضاف إليه		آلة	الرجل
80	آلَة الصَّانِعِ	آلة الصانع	30	مضاف إليه		آلة	الصانع
81	آلَة اللَّهْوِ	آلة اللهو	30	مضاف إليه		آلة	اللهو
82	آلَة الْوِلَادَةِ	آلة الولادة	30	مضاف إليه		آلة	الولادة
83	آلَة جَارِحَة	آلة جارحة	40	نعت ومنعوت		آلة	جارحة
84	آلَة مَحْضَة	آلة محضة	40	نعت ومنعوت		آلة	محضة
85	آلَة وَاحِدَة	آلة واحدة	40	نعت ومنعوت		آلة	واحدة
86	آنِيَة الْخَمْرِ	آنية الخمر	30	مضاف إليه		آنية	الخمر
87	آنِيَة الذَّهَبِ	آنية الذهب	30	مضاف إليه		آنية	الذهب
88	آنِيَة الْغُسْلِ	آنية الغسل	30	مضاف إليه		آنية	الغسل
89	آنِيَة الْفِضَّةِ	آنية الفضة	30	مضاف إليه		آنية	الفضة
90	آنِيَة الْوُضُوءِ	آنية الوضوء	30	مضاف إليه		آنية	الوضوء
91	آيَاتٍ الْآيَةُ	آيات الآية	60			آيات	الآية
92	آيَات الْقُرْآنِ	آيات القرآن	60	مضاف إليه		آيات	القرآن
93	آيَات الْكِتَابِ	آيات الكتاب	60	مضاف إليه		آيات	الكتاب
94	آيَات اللَّهِ	آيات الله	50	مضاف إليه	Confused;;;آيَات اللّهِ	آيات	الله
95	آيَة آيَة	آية آية	40	نعت ومنعوت		آية	آية
96	آيَة التَّحْرِيمِ	آية التحريم	30	مضاف إليه		آية	التحريم
97	آيَة التَّخْيِيرِ	آية التخيير	30	مضاف إليه		آية	التخيير
98	آيَة التَّرْغِيبِ	آية الترغيب	30	مضاف إليه		آية	الترغيب
99	آيَة التَّيَمُّمِ	آية التيمم	30	مضاف إليه		آية	التيمم
100	آيَة الْحِجَابِ	آية الحجاب	30	مضاف إليه		آية	الحجاب
101	آيَة الدَّيْنِ	آية الدين	30	مضاف إليه		آية	الدين
102	آيَة الرَّجْمِ	آية الرجم	30	مضاف إليه		آية	الرجم
103	آيَة السَّجْدَةِ	آية السجدة	30	مضاف إليه		آية	السجدة
104	آيَة السَّرِقَةِ	آية السرقة	30	مضاف إليه		آية	السرقة
105	آيَة الصَّيْفِ	آية الصيف	30	مضاف إليه		آية	الصيف
106	آيَة الظِّهَارِ	آية الظهار	30	مضاف إليه		آية	الظهار
107	آيَة الْكُرْسِيِّ	آية الكرسي	30	مضاف إليه		آية	الكرسي
108	آيَة اللِّعَانِ	آية اللعان	30	مضاف إليه		آية	اللعان
109	آيَة اللَّيْلِ	آية الليل	30	مضاف إليه		آية	الليل
110	آيَة الْمَائِدَةِ	آية المائدة	30	مضاف إليه		آية	المائدة
111	آيَة الْمُنَافِقِ	آية المنافق	30	مضاف إليه		آية	المنافق
112	آيَة الْمَوَارِيثِ	آية المواريث	30	مضاف إليه		آية	المواريث
113	آيَة الْمِيرَاثِ	آية الميراث	30	مضاف إليه		آية	الميراث
114	آيَة النَّهَارِ	آية النهار	30	مضاف إليه		آية	النهار
115	آيَة الْوُضُوءِ	آية الوضوء	30	مضاف إليه		آية	الوضوء
116	آيَة تَامَّة	آية تامة	40	نعت ومنعوت		آية	تامة
117	آيَةَ سَجْدَةٍ	آية سجدة	40		Confused;;;آيَةِ سَجْدَةٍ	آية	سجدة
118	آيَة طَوِيلَة	آية طويلة	40	نعت ومنعوت		آية	طويلة
119	آيَة مُحْكَمَة	آية محكمة	40	نعت ومنعوت		آية	محكمة
120	آيَة وَاحِدَة	آية واحدة	40	نعت ومنعوت		آية	واحدة
121	أَئِمَّة الْإِسْلَامِ	أئمة الإسلام	30	مضاف إليه		أئمة	الإسلام
122	أَئِمَّة التَّابِعِينَ	أئمة التابعين	30	مضاف إليه		أئمة	التابعين
123	أَئِمَّة الْحَدِيثِ	أئمة الحديث	30	مضاف إليه		أئمة	الحديث
124	أَئِمَّة الْحَنَفِيَّةِ	أئمة الحنفية	30	مضاف إليه		أئمة	الحنفية
125	أَئِمَّة الدِّينِ	أئمة الدين	30	مضاف إليه		أئمة	الدين
126	أَئِمَّة الشَّافِعِيَّةِ	أئمة الشافعية	30	مضاف إليه		أئمة	الشافعية
127	أَئِمَّة الْعَدْلِ	أئمة العدل	30	مضاف إليه		أئمة	العدل
128	أَئِمَّة الْعَرَبِيَّةِ	أئمة العربية	30	مضاف إليه		أئمة	العربية
129	أَئِمَّة الْكُفْرِ	أئمة الكفر	30	مضاف إليه		أئمة	الكفر
130	أَئِمَّة اللُّغَةِ	أئمة اللغة	30	مضاف إليه		أئمة	اللغة
131	أَئِمَّة الْمَالِكِيَّةِ	أئمة المالكية	30	مضاف إليه		أئمة	المالكية
132	أَئِمَّة الْمَذَاهِبِ	أئمة المذاهب	30	مضاف إليه		أئمة	المذاهب
133	أَئِمَّة الْمَذْهَبِ	أئمة المذهب	30	مضاف إليه		أئمة	المذهب
134	أَئِمَّة الْمَسَاجِدِ	أئمة المساجد	30	مضاف إليه		أئمة	المساجد
135	أَئِمَّة الْمُسْلِمِينَ	أئمة المسلمين	30	مضاف إليه		أئمة	المسلمين
136	أَئِمَّة النَّقْلِ	أئمة النقل	30	مضاف إليه		أئمة	النقل
137	أَئِمَّة الْهُدَى	أئمة الهدى	30	مضاف إليه		أئمة	الهدى
138	أَبْعَد الْأَوْقَاتِ	أبعد الأوقات	50	مضاف إليه		أبعد	الأوقات
139	أَبْعَد الْبَعِيدِ	أبعد البعيد	50	مضاف إليه		أبعد	البعيد
140	أَبْلَغ الْوُجُوهِ	أبلغ الوجوه	50	مضاف إليه		أبلغ	الوجوه
141	أَبْنَاء الدُّنْيَا	أبناء الدنيا	50			أبناء	الدنيا
142	أَبْنَاء السَّبِيلِ	أبناء السبيل	50	مضاف إليه		أبناء	السبيل
143	أَبْوَاب الْبِرِّ	أبواب البر	50	مضاف إليه		أبواب	البر
144	أَبْوَاب الْجَنَّةِ	أبواب الجنة	50	مضاف إليه		أبواب	الجنة
145	أَبْوَاب الرِّبَا	أبواب الربا	50			أبواب	الربا
146	أَبْوَاب الْفِقْهِ	أبواب الفقه	50	مضاف إليه		أبواب	الفقه
147	أَبْوَاب الْكَبَائِرِ	أبواب الكبائر	50	مضاف إليه		أبواب	الكبائر
148	أَبْوَاب الْمَسَاجِدِ	أبواب المساجد	50	مضاف إليه		أبواب	المساجد
149	أَبْوَاب الْمَسْجِدِ	أبواب المسجد	50	مضاف إليه		أبواب	المسجد
150	أَبْوَال الْإِبِلِ	أبوال الإبل	50	مضاف إليه		أبوال	الإبل
151	أَبَى الْبَيْعَ	أبى البيع	50			أبى	البيع
152	أَتَى الْجُمُعَةَ	أتى الجمعة	50			أتى	الجمعة
153	أَتَى الْغَائِطَ	أتى الغائط	50			أتى	الغائط
154	أَتَى اللَّهَ	أتى الله	50			أتى	الله
155	أَتَى الْمَسْجِدَ	أتى المسجد	50			أتى	المسجد
156	أَثَر الْجِنَايَةِ	أثر الجناية	50	مضاف إليه		أثر	الجناية
157	أَثَر السُّجُودِ	أثر السجود	50	مضاف إليه		أثر	السجود
158	أَثَر الطَّعَامِ	أثر الطعام	50	مضاف إليه		أثر	الطعام
159	أَثَر الْوُضُوءِ	أثر الوضوء	50	مضاف إليه		أثر	الوضوء
160	أَثْنَاء الْأَجَلِ	أثناء الأجل	50	مضاف إليه		أثناء	الأجل
161	أَثْنَاء الْأَذَانِ	أثناء الأذان	50	مضاف إليه		أثناء	الأذان
162	أَثْنَاء الْبَابِ	أثناء الباب	50	مضاف إليه		أثناء	الباب
163	أَثْنَاء التَّعْلِيقِ	أثناء التعليق	50	مضاف إليه		أثناء	التعليق
164	أَثْنَاء الْحَدِّ	أثناء الحد	50	مضاف إليه		أثناء	الحد
165	أَثْنَاء الْحَوْلِ	أثناء الحول	50	مضاف إليه		أثناء	الحول
166	أَثْنَاء الْخُطْبَةِ	أثناء الخطبة	50	مضاف إليه		أثناء	الخطبة
167	أَثْنَاء السَّنَةِ	أثناء السنة	50	مضاف إليه		أثناء	السنة
168	أَثْنَاء الشَّهْرِ	أثناء الشهر	50	مضاف إليه		أثناء	الشهر
169	أَثْنَاء الصَّلَاةِ	أثناء الصلاة	50	مضاف إليه		أثناء	الصلاة
170	أَثْنَاء الصَّوْمِ	أثناء الصوم	50	مضاف إليه		أثناء	الصوم
171	أَثْنَاء الطَّرِيقِ	أثناء الطريق	50	مضاف إليه		أثناء	الطريق
172	أَثْنَاء الطَّوَافِ	أثناء الطواف	50	مضاف إليه		أثناء	الطواف
173	أَثْنَاء الظُّهْرِ	أثناء الظهر	50	مضاف إليه		أثناء	الظهر
174	أَثْنَاء الْعَامِ	أثناء العام	50	مضاف إليه		أثناء	العام
175	أَثْنَاء الْعِبَادَةِ	أثناء العبادة	50	مضاف إليه		أثناء	العبادة
176	أَثْنَاء الْعِدَّةِ	أثناء العدة	50	مضاف إليه		أثناء	العدة
177	أَثْنَاء الْعَمَلِ	أثناء العمل	50	مضاف إليه		أثناء	العمل
178	أَثْنَاء الْغُسْلِ	أثناء الغسل	50	مضاف إليه		أثناء	الغسل
179	أَثْنَاء الْفَاتِحَةِ	أثناء الفاتحة	50	مضاف إليه		أثناء	الفاتحة
180	أَثْنَاء الْفَصْلِ	أثناء الفصل	50	مضاف إليه		أثناء	الفصل
181	أَثْنَاء الْكَلَامِ	أثناء الكلام	50	مضاف إليه		أثناء	الكلام
182	أَثْنَاء اللَّيْلِ	أثناء الليل	50	مضاف إليه		أثناء	الليل
183	أَثْنَاء الْمُدَّةِ	أثناء المدة	50	مضاف إليه		أثناء	المدة
184	أَثْنَاء الْمَسْأَلَةِ	أثناء المسألة	50	مضاف إليه		أثناء	المسألة
185	أَثْنَاء الْمَسَائِلِ	أثناء المسائل	50	مضاف إليه		أثناء	المسائل
186	أَثْنَاء الْمَسَافَةِ	أثناء المسافة	50	مضاف إليه		أثناء	المسافة
187	أَثْنَاء النَّهَارِ	أثناء النهار	50	مضاف إليه		أثناء	النهار
188	أَثْنَاء الْوُضُوءِ	أثناء الوضوء	50	مضاف إليه		أثناء	الوضوء
189	أَثْنَاء الْوَقْتِ	أثناء الوقت	50	مضاف إليه		أثناء	الوقت
190	أَثْنَاء الْيَوْمِ	أثناء اليوم	50	مضاف إليه		أثناء	اليوم
191	أَجَازَ الْمُزَارَعَةَ	أجاز المزارعة	50			أجاز	المزارعة
192	أَجْر الْأَرْضِ	أجر الأرض	50	مضاف إليه		أجر	الأرض
193	أَجْر الصَّائِمِ	أجر الصائم	50	مضاف إليه		أجر	الصائم
194	أَجْر الْعَامِلِ	أجر العامل	50	مضاف إليه		أجر	العامل
195	أَجْر الْمِثْلِ	أجر المثل	50	مضاف إليه		أجر	المثل
196	أُجْرَة الْأَجْنَبِيَّةِ	أجرة الأجنبية	30	مضاف إليه		أجرة	الأجنبية
197	أُجْرَة الْأَجِيرِ	أجرة الأجير	30	مضاف إليه		أجرة	الأجير
198	أُجْرَة الْأَرْضِ	أجرة الأرض	30	مضاف إليه		أجرة	الأرض
199	أُجْرَة التَّعْلِيمِ	أجرة التعليم	30	مضاف إليه		أجرة	التعليم
200	أُجْرَة الْجَزَّارِ	أجرة الجزار	30	مضاف إليه		أجرة	الجزار
201	أُجْرَة الْحَضَانَةِ	أجرة الحضانة	30	مضاف إليه		أجرة	الحضانة
202	أُجْرَة الْحَمَّامِ	أجرة الحمام	30	مضاف إليه		أجرة	الحمام
203	أُجْرَة الْحَمْلِ	أجرة الحمل	30	مضاف إليه		أجرة	الحمل
204	أُجْرَة الدَّارِ	أجرة الدار	30	مضاف إليه		أجرة	الدار
205	أُجْرَة الدَّلَّالِ	أجرة الدلال	30	مضاف إليه		أجرة	الدلال
206	أُجْرَة الرَّسُولِ	أجرة الرسول	30	مضاف إليه		أجرة	الرسول
207	أُجْرَة الرَّضَاعِ	أجرة الرضاع	30	مضاف إليه		أجرة	الرضاع
208	أُجْرَة الطَّبِيبِ	أجرة الطبيب	30	مضاف إليه		أجرة	الطبيب
209	أُجْرَة الْعَمَلِ	أجرة العمل	30	مضاف إليه		أجرة	العمل
210	أُجْرَة الْقَسَّامِ	أجرة القسام	30	مضاف إليه		أجرة	القسام
211	أُجْرَة الْكَيَّالِ	أجرة الكيال	30	مضاف إليه		أجرة	الكيال
212	أُجْرَة الْمِثْلِ	أجرة المثل	30	مضاف إليه		أجرة	المثل
213	أُجْرَة الْمُدَّةِ	أجرة المدة	30	مضاف إليه		أجرة	المدة
214	أُجْرَة الْمَسْكَنِ	أجرة المسكن	30	مضاف إليه		أجرة	المسكن
215	أُجْرَة مُدَّةِ	أجرة مدة	40			أجرة	مدة
216	أُجْرَة مَعْلُومَة	أجرة معلومة	40			أجرة	معلومة
217	أَجْزَاء الْأَرْضِ	أجزاء الأرض	50	مضاف إليه		أجزاء	الأرض
218	أَجْزَاء الْأُمِّ	أجزاء الأم	50	مضاف إليه		أجزاء	الأم
219	أَجْزَاء الثَّوْبِ	أجزاء الثوب	50	مضاف إليه		أجزاء	الثوب
220	أَجْزَاء الْحَيَوَانِ	أجزاء الحيوان	50	مضاف إليه		أجزاء	الحيوان
221	أَجْزَاء الصَّلَاةِ	أجزاء الصلاة	50	مضاف إليه		أجزاء	الصلاة
222	أَجْزَاء الْعِلَّةِ	أجزاء العلة	50	مضاف إليه		أجزاء	العلة
223	أَجْزَاء الْعَيْنِ	أجزاء العين	50	مضاف إليه		أجزاء	العين
224	أَجْزَاء الْقَامَةِ	أجزاء القامة	50	مضاف إليه		أجزاء	القامة
225	أَجْزَاء الْمَاءِ	أجزاء الماء	50	مضاف إليه		أجزاء	الماء
226	أَجْزَاء الْمَبِيعِ	أجزاء المبيع	50	مضاف إليه		أجزاء	المبيع
227	أَجْزَاء الْمَسْجِدِ	أجزاء المسجد	50	مضاف إليه		أجزاء	المسجد
228	أَجْزَاء الْمَيِّتِ	أجزاء الميت	50	مضاف إليه		أجزاء	الميت
229	أَجْزَاء الْمَيْتَةِ	أجزاء الميتة	50	مضاف إليه		أجزاء	الميتة
230	أَجْزَاء النُّبُوَّةِ	أجزاء النبوة	50	مضاف إليه		أجزاء	النبوة
231	أَجْزَاء النَّهَارِ	أجزاء النهار	50	مضاف إليه		أجزاء	النهار
232	أَجْزَاء الْوَقْتِ	أجزاء الوقت	50	مضاف إليه		أجزاء	الوقت
233	أَجَل الْإِيلَاءِ	أجل الإيلاء	50	مضاف إليه		أجل	الإيلاء
234	أَجَل الْبَصَرِ	أجل البصر	50	مضاف إليه		أجل	البصر
235	أَجَل الدَّافَّةِ	أجل الدافة	50	مضاف إليه		أجل	الدافة
236	أَجَل الدَّيْنِ	أجل الدين	50	مضاف إليه		أجل	الدين
237	أَجَل السَّلَمِ	أجل السلم	50	مضاف إليه		أجل	السلم
238	أَجَل الْعَيْبِ	أجل العيب	50	مضاف إليه		أجل	العيب
239	أَجْنَاس النَّاطِفِيِّ	أجناس الناطفي	50	مضاف إليه		أجناس	الناطفي
240	أَجْوِبَة الْمُفْتِينَ	أجوبة المفتين	30			أجوبة	المفتين
241	أَجِير الْوَحْدِ	أجير الوحد	50	مضاف إليه		أجير	الوحد
242	أَحَادِيث الْبَاب	أحاديث الباب	50			أحاديث	الباب
243	أَحَاطَ الدَّيْنُ	أحاط الدين	50			أحاط	الدين
244	أَحَبّ النَّاسِ	أحب الناس	50	مضاف إليه		أحب	الناس
245	أَحْبَار الْيَهُودِ	أحبار اليهود	50	مضاف إليه		أحبار	اليهود
246	أَحْرَار الْمُسْلِمِينَ	أحرار المسلمين	50			أحرار	المسلمين
247	أَحْكَام الْآخِرَةِ	أحكام الآخرة	50	مضاف إليه		أحكام	الآخرة
248	أَحْكَام الْأَبْدَانِ	أحكام الأبدان	50	مضاف إليه		أحكام	الأبدان
249	أَحْكَام الْإِسْلَامِ	أحكام الإسلام	50	مضاف إليه		أحكام	الإسلام
250	أَحْكَام الْإِيلَاءِ	أحكام الإيلاء	50	مضاف إليه		أحكام	الإيلاء
251	أَحْكَام الْبَيْعِ	أحكام البيع	50	مضاف إليه		أحكام	البيع
252	أَحْكَام الْجَانِّ	أحكام الجان	50	مضاف إليه		أحكام	الجان
253	أَحْكَام الْجِهَادِ	أحكام الجهاد	50	مضاف إليه		أحكام	الجهاد
254	أَحْكَام الْحَجِّ	أحكام الحج	50	مضاف إليه		أحكام	الحج
255	أَحْكَام الْحَجْرِ	أحكام الحجر	50	مضاف إليه		أحكام	الحجر
256	أَحْكَام الْحَيْضِ	أحكام الحيض	50	مضاف إليه		أحكام	الحيض
257	أَحْكَام الْخُنْثَى	أحكام الخنثى	50			أحكام	الخنثى
258	أَحْكَام الدِّمَاءِ	أحكام الدماء	50	مضاف إليه		أحكام	الدماء
259	أَحْكَام الدُّنْيَا	أحكام الدنيا	50			أحكام	الدنيا
260	أَحْكَام الدَّيْنِ	أحكام الدين	50	مضاف إليه	Confused;;;أَحْكَام الدِّينِ	أحكام	الدين
261	أَحْكَام الذِّمَّةِ	أحكام الذمة	50	مضاف إليه		أحكام	الذمة
262	أَحْكَام الرِّقِّ	أحكام الرق	50	مضاف إليه		أحكام	الرق
263	أَحْكَام الشَّرْعِ	أحكام الشرع	50	مضاف إليه		أحكام	الشرع
264	أَحْكَام الشَّرِيعَةِ	أحكام الشريعة	50	مضاف إليه		أحكام	الشريعة
265	أَحْكَام الصِّبْيَانِ	أحكام الصبيان	50	مضاف إليه		أحكام	الصبيان
266	أَحْكَام الصِّغَارِ	أحكام الصغار	50	مضاف إليه		أحكام	الصغار
267	أَحْكَام الصَّلَاةِ	أحكام الصلاة	50	مضاف إليه		أحكام	الصلاة
268	أَحْكَام الطَّاهِرَاتِ	أحكام الطاهرات	50	مضاف إليه		أحكام	الطاهرات
269	أَحْكَام الْعَبْدِ	أحكام العبد	50	مضاف إليه		أحكام	العبد
270	أَحْكَام الْعِتْقِ	أحكام العتق	50	مضاف إليه		أحكام	العتق
271	أَحْكَام الْعَقْدِ	أحكام العقد	50	مضاف إليه		أحكام	العقد
272	أَحْكَام الْعِمَارَةِ	أحكام العمارة	50	مضاف إليه		أحكام	العمارة
273	أَحْكَام الْقُرْآنِ	أحكام القرآن	50	مضاف إليه		أحكام	القرآن
274	أَحْكَام الْقَضَاءِ	أحكام القضاء	50	مضاف إليه		أحكام	القضاء
275	أَحْكَام الْكِتَابَةِ	أحكام الكتابة	50	مضاف إليه		أحكام	الكتابة
276	أَحْكَام اللَّهِ	أحكام الله	50	مضاف إليه		أحكام	الله
277	أَحْكَام الْمَرْضَى	أحكام المرضى	50			أحكام	المرضى
278	أَحْكَام الْمَسَاجِدِ	أحكام المساجد	50	مضاف إليه		أحكام	المساجد
279	أَحْكَام الْمَسْجِدِ	أحكام المسجد	50	مضاف إليه		أحكام	المسجد
280	أَحْكَام الْمُسْلِمِينَ	أحكام المسلمين	50			أحكام	المسلمين
281	أَحْكَام النِّسَاءِ	أحكام النساء	50	مضاف إليه		أحكام	النساء
282	أَحْكَام النَّسَبِ	أحكام النسب	50	مضاف إليه		أحكام	النسب
283	أَحْكَام النُّشُوزِ	أحكام النشوز	50	مضاف إليه		أحكام	النشوز
284	أَحْكَام النِّكَاحِ	أحكام النكاح	50	مضاف إليه		أحكام	النكاح
285	أَحْكَام الْوَطْءِ	أحكام الوطء	50	مضاف إليه		أحكام	الوطء
286	أَحْكَام الْوَقْفِ	أحكام الوقف	50	مضاف إليه		أحكام	الوقف
287	أَحْكَام الْوَكَالَةِ	أحكام الوكالة	50	مضاف إليه		أحكام	الوكالة
288	أَحْوَال الشُّهُودِ	أحوال الشهود	50	مضاف إليه		أحوال	الشهود
289	أَحْوَال النَّاسِ	أحوال الناس	50	مضاف إليه		أحوال	الناس
290	أَحْيَاء الْعَرَبِ	أحياء العرب	50	مضاف إليه		أحياء	العرب
291	أَخْبَار الْآحَادِ	أخبار الآحاد	50	مضاف إليه		أخبار	الآحاد
292	أَخْبَار الأَنْبِيَاءِ	أخبار الأنبياء	50	مضاف إليه		أخبار	الأنبياء
293	أَخْذ الْأُجْرَةِ	أخذ الأجرة	50	مضاف إليه		أخذ	الأجرة
294	أَخْذ الْأَرْشِ	أخذ الأرش	50	مضاف إليه		أخذ	الأرش
295	أَخْذ الْبَعْضِ	أخذ البعض	50	مضاف إليه		أخذ	البعض
296	أَخْذ الثَّمَنِ	أخذ الثمن	50	مضاف إليه		أخذ	الثمن
297	أَخْذ الْجِزْيَةِ	أخذ الجزية	50	مضاف إليه		أخذ	الجزية
298	أَخْذ الْجَمِيعِ	أخذ الجميع	50	مضاف إليه		أخذ	الجميع
299	أَخْذ الْحَقِّ	أخذ الحق	50	مضاف إليه		أخذ	الحق
300	أَخْذ الدِّيَةِ	أخذ الدية	50	مضاف إليه		أخذ	الدية
301	أَخْذ الزَّكَاةِ	أخذ الزكاة	50	مضاف إليه		أخذ	الزكاة
